Objetivo PGD,Declara articulacion con PEI,Objetivo PEI,Articulacion verificable,Tiene indicador,Tiene linea base,Tiene meta anual,Proyectos asociados
OGD 1 (Interoperabilidad en Emergencias),Sí,OEI 05,Sí,Sí,Sí,Sí,Implementación de HCE interoperable en el HEJCU
OGD 2 (Transformación de Procesos Médicos),Sí,OEI 05,Sí,Sí,No,Sí,Sistema integrado de admisión y triaje digital
OGD 3 (Ciberseguridad Institucional),Sí,OEI 05,Declarada sin sustento,No,No,No,Plan de adecuación al marco de confianza digital
