Documento,Entidad y periodo que cubre,Resolución que lo aprueba con su fecha,¿Se aprobó antes de iniciar el periodo?,¿Sigue vigente hoy?,¿Propone proyectos con presupuesto?
PEI,MINSA Sede Central (2025-2030),Publicado en Gob.pe el 18 de julio de 2025,No (Aprobado a mitad del primer año fiscal del periodo),Sí,Sí (Vinculado a metas físicas y financieras de CEPLAN)
PGD,Hospital HEJCU - MINSA (2025-2028),Resolución Directoral N° 211-2025-DG-HEJCU (11 de febrero de 2026),No (El plan se formalizó e inició su publicación en el segundo año del periodo),Sí,Sí (Detalla el portafolio de proyectos informáticos específicos para emergencias)
